Unnamed: 0,commit_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
1,0845300d1993ca749f0e661ad744ccb721c87e7c,2016-01-01 19:03:45,0,0,1,1,1,0.0,6,5,517,1,17,45.0165162037037,42,73,3.340875010603491,47
2,bf98fbac448999bf6a67fd90f31e799356fd9daf,2016-01-01 20:27:26,0,0,1,1,1,0.0,1,1,55,0,119,14.277164351851852,649,3381,41.35500342662991,6
4,515203eac7661a8823ba70a1e832f4a32d45b1d7,2016-01-04 04:14:00,0,0,1,1,1,0.0,1,1,61,1,119,13.419780092592593,651,3383,40.71706735794904,6
16,9b430f99518e10ae263bedec3062408af332068c,2016-01-04 14:46:57,1,1,1,3,3,1.1846128276938,107,14,4828,1,89,121.32009645061729,308,17,9.06098098541771,9
18,e4daac6012a0166b246c495e7fc915bccf47513f,2016-01-04 15:35:54,0,0,1,2,2,0.9544340029249648,20,4,648,0,31,151.04563657407408,62,21,4.181368760795776,7
31,12ebdae1b38c800bdb9e978c3a99b3dd09aa765a,2016-01-05 01:03:02,0,0,1,5,6,2.584962500721156,6,6,3714,0,139,55.1818537808642,533,9,7.679452622848849,6
32,382b56f2fe86659a26b3cdeb20f804245fb6ba6e,2016-01-05 01:31:53,1,1,1,1,1,0.0,15,16,956,1,23,69.12012731481481,36,181,31.440161695810698,43
38,01ad4ccebd06503896c3921e9e026f8941073a1b,2016-01-05 09:22:40,0,0,2,4,2,1.8116351418200487,1,27,245,1,142,567.3841579861111,605,4,4.0,5
44,c945960000538bb0fef876aaca84e3330761c8f8,2016-01-05 11:48:21,1,1,1,10,9,2.579273861624469,311,93,7319,0,153,81.71689288720539,880,209,42.85360726757576,109
52,e31e31689073323ceba2bb4c993af73df8274121,2016-01-05 15:45:02,1,1,1,4,5,1.620394659147938,119,32,15894,1,131,25.769099151234567,451,140,69.33428559575376,85
57,4e4870936165fc1927a646e7fa3972df06ee0606,2016-01-05 17:14:51,1,1,1,2,4,1.65236672494689,34,15,12325,0,40,25.71691550925926,329,56,17.754078140918548,16
58,ef99b73f2abf758400671eba4095ac31031fbae6,2016-01-05 17:17:12,0,0,1,2,2,0.5993142373098092,33,15,10735,0,36,1.007662037037037,209,58,19.746641000805315,16
63,67187e5e813b223588a9fc44a6c37d8fb2482cbe,2016-01-05 20:36:00,0,0,1,4,4,1.8112781244591325,0,8,4119,1,27,64.37050347222223,106,142,20.282671736578287,73
68,0cf0b6ee8c8ce5b4b82647e36d4d65bc0192edaa,2016-01-06 01:50:45,0,0,1,2,2,0.9426831892554922,22,3,2096,1,48,25.224108796296296,112,22,10.748316723715629,18
69,16f1dc862e9771f7b26d094bdcf41791c9fc5a8c,2016-01-06 05:13:34,1,1,1,2,2,0.9904799742690308,46,15,11233,1,218,16.429594907407406,964,154,5.697204645624849,53
77,253cab37e472d57efa996ee112de36124c8bb72a,2016-01-06 09:19:39,0,0,1,1,1,0.0,106,104,767,1,27,13.158645833333331,46,122,115.66328457667268,12
89,0bac2bf693f054894f2e1b8149de8ecc7772f065,2016-01-06 14:47:55,0,0,1,2,2,0.5032583347756457,17,1,273,1,6,244.00520833333331,18,34,2.6534787129486834,16
93,3fa4b8003a63f55226a14608611b09a340211cfe,2016-01-06 17:36:45,1,1,1,1,1,0.0,6,3,239,1,48,119.64945601851852,90,4,2.240483629037417,1
98,2752fd6e161944f5875e4f4d0b4cdf4e178d05cd,2016-01-06 22:16:33,1,1,1,2,2,0.9182958340544896,47,4,744,1,4,28.994699074074077,11,91,17.38317694315225,8
101,9fdd68d9f509ad50d18bd65d57f297dea3b891b8,2016-01-07 02:00:17,1,1,1,2,2,0.9574712286888932,276,22,6476,1,46,19.39809027777778,142,20,8.388361822227072,5
125,ec172a10fef5f9b12bcdfa01e50d62f204cd71cc,2016-01-07 17:12:47,0,0,1,1,1,0.0,4,4,61,0,119,3.5408217592592592,654,3414,51.64527703427393,6
127,cffad569f82bb5b6b52129015e37cfd62701622c,2016-01-07 18:08:08,1,1,1,2,2,0.9996098363678072,31,12,6768,1,46,18.194826388888888,144,16,6.163304441775616,7
132,00b46803e151d99b4813310aa976974e618b4927,2016-01-08 00:35:19,0,0,1,3,7,2.585889719648048,0,3655,4010,0,25,47.02713458994709,81,12,12.0,12
138,644967e8c9d0dfe8642ce12eb2ff8149a5150960,2016-01-08 06:50:03,0,0,1,1,1,0.0,4,4,55,0,119,6.432372685185185,655,3450,83.67800153089719,6
142,3ab790a720b3ec1e894f09f0fdcdde7943f8728e,2016-01-08 12:02:55,1,1,1,1,1,0.0,17,0,130,1,6,338.9135416666667,8,18,7.219349589786297,6
144,b61b199afdba606bad12b4812a088dbcd0e7637d,2016-01-08 14:11:03,0,0,1,2,2,0.7024665512903903,19,2,885,1,55,99.8867013888889,165,49,2.684535459584174,19
145,ee4604baf31b7653016a83f06c5845143f6d8107,2016-01-08 16:05:44,0,0,1,1,1,0.0,2,2,15,0,1,49.78607638888889,3,913,150.46238387648256,8
151,8168db87dda3e34348b29f1677609d1c0efb2ac0,2016-01-08 19:18:49,0,0,1,2,5,2.0065615181819965,118,72,5155,1,31,101.30084722222222,148,16,5.267470060159574,11
152,08b4d136cbe6de39b1e466774a3f5c3e30a63e4b,2016-01-08 19:20:49,1,1,1,6,6,2.1986733554647446,71,152,9915,1,241,29.924126984126985,1439,429,10.00161543209431,137
162,e2ee2ef67dac6ad260b6000870e2df84daf8aede,2016-01-09 06:45:19,0,0,1,3,8,2.395099442350544,1719,1460,51729,0,8,19.26562403549383,297,3462,75.147490412915,45
164,3201195bdad3e42df6554627ec6859f000ecd7bf,2016-01-09 16:43:43,0,0,1,1,1,0.0,0,6,6,0,24,1247.033275462963,70,6,1.4506487464245403,2
174,ea408a5bd68d07d26ebae6f09a6f97a5158c9da5,2016-01-11 08:17:06,1,1,1,6,5,2.543168365609511,126,18,17224,1,245,106.77959656084656,1577,216,40.11463415193944,109
179,3632173486f89d541c121be8e041a1da636edf32,2016-01-11 11:43:09,1,1,1,2,2,0.907165767573082,11,20,1423,1,42,71.1770486111111,93,880,46.233894613277336,307
183,3bdb51e947e0595d4a0514f3cf29b321cd6f9483,2016-01-11 14:55:10,1,1,3,5,7,1.8613561659597255,34,17,3088,0,107,148.4809341931217,396,25,10.130225388020264,12
188,6383d790fda6b072fe253d5305c35994a1f65712,2016-01-11 17:52:47,1,1,1,1,1,0.0,3,0,62,0,16,84.17299768518518,32,16,3.271373043239337,7
189,90381fbc2746f52fcea93de14f54d3ff5b13e049,2016-01-11 18:22:24,1,1,1,2,2,0.9034535552068336,84,10,10753,0,36,6.88787037037037,211,205,4.187282502007128,44
190,26cfe4b3d1b10834a72cacdaaa5ae089e94c4e19,2016-01-11 19:11:33,1,1,1,2,3,1.295461844238322,6,4,971,0,7,150.61954089506173,39,579,271.2590697952121,307
192,c811d98c8b3991a9c298fce914f091b2a9ac215f,2016-01-11 20:04:51,0,0,1,2,2,0.9798687566511528,10,14,1757,1,60,19.62138310185185,153,5,3.0222230762655773,3
193,5e363eb194e3d33e9a71b7f2f900e5c6dc13a0b1,2016-01-11 20:08:33,0,0,1,2,2,0.9456603046006402,30,3,1605,1,49,74.40966435185184,108,124,115.73838805596948,14
194,ee79580b4f68fd0f42dc5e4b9033ea99d0f923da,2016-01-11 20:57:28,1,1,1,1,1,0.0,5,2,4299,1,130,14.29292824074074,488,914,148.6819825550889,295
195,7c789079a37bd2ce0d29e15e2216c3b09076c093,2016-01-11 21:34:32,0,0,1,2,5,2.2516291673878226,12,12,2400,1,13,113.46867592592592,71,147,21.846802287147295,73
196,1a45a8d852c3c26c6aab15704628c9c8264348ad,2016-01-11 21:34:58,0,0,1,1,1,0.0,3,4,492,1,19,26.156423611111112,38,148,22.84527363235601,73
210,68a0f1c309c01bf6f8bbe6e0e08e3e292fec61b6,2016-01-12 14:37:44,0,0,1,1,1,0.0,3,1,79,0,9,186.03663194444445,9,915,149.0622877591489,296
217,bf4ef47b95a6aeb9b98b531a1d6fe33fc131fe06,2016-01-12 18:59:05,1,1,1,2,2,0.5032583347756457,6,3,3073,0,38,37.67601851851852,191,20,2.9505122543457025,4
