Unnamed: 0,commit_id,date,bug,__,ns,nd,nf,entrophy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
0,b62153e05365fcb028df05a006d7f0480b082089,2015-12-31 18:51:40,1,1,1,1,3,1.4558764720277595,24,3,794,1,2,11.5925,74,9667,148.5670474332724,407
2,5a078b3949c647043cbfb87859f1a2b2b28331db,2016-01-03 08:05:30,0,0,1,1,3,0.5260997945093815,31,21,480,1,2,2.551273148148148,41,9670,147.7488370124172,407
3,535e4f96bbdf4e793f22d99b2e3fb9fe17267438,2016-01-04 05:28:19,0,0,2,2,2,0.3576467062456332,57,2,3039,0,14,411.6471643518519,121,5,3.007946427466937,2
12,5161e813d69721aee476c1952f7c6794ee32bc5e,2016-01-04 22:07:32,0,0,1,1,1,0.0,3,3,193,1,4,47.26695601851852,208,9671,146.0471622874601,3
37,f37df2b918ac77de9bd4fd1d0a8811d0e7f2f5f2,2016-01-06 06:37:01,0,0,1,3,3,0.6917244835981394,38,23,1091,1,7,405.7550347222222,130,315,57.33817702280356,45
67,920fa007f4ce9b2c20bfa0a1c5d46691e8e56186,2016-01-07 20:55:01,1,1,1,1,1,0.0,1,1,958,1,12,23.396284722222223,522,9672,144.5488719992299,2
68,c22c51018d2599dddc247b31dcd0e02a662a6fa0,2016-01-07 20:58:54,0,0,1,1,1,0.0,1,1,958,1,12,0.0026967592592592,523,9673,145.5448597656593,2
73,152a57cea4a33881942f4e469ee09c13decee120,2016-01-08 12:43:35,1,1,1,3,4,1.6644977792004616,8,6,428,1,9,157.9852488425926,49,13404,2332.2515122840477,4591
74,6c957cc86f67de8980423ce6e9cb77e053dace35,2016-01-08 13:32:31,1,1,1,7,27,3.865813421628701,56,65,4169,1,6,373.871588648834,226,13431,2359.092909004935,4618
75,9dfe86e976ea87828a1315f9bf2eff003edaa27e,2016-01-08 13:34:46,0,0,1,1,1,0.0,1,11,101,1,3,0.0047106481481481,9,13432,2360.043702980656,4618
78,5f1d3e537c80a96c77263a34b00bde04da9697e3,2016-01-08 19:34:04,0,0,1,1,1,0.0,2,2,1396,1,3,17.65414351851852,247,9674,145.1520238064332,407
79,1798c68dc2ac070dd22ec0c4bddd25cc654d429e,2016-01-08 19:37:20,1,1,1,1,1,0.0,2,2,1396,1,3,0.0022685185185185,248,9675,146.14761022046991,407
80,a60121a2c972673ce6341b8094b21976bd9fa5f9,2016-01-08 19:40:50,1,1,1,1,1,0.0,3,1,1396,1,3,0.0024305555555555,249,9676,147.1404715141549,407
94,6dddca7be44fc3fb7d03c9e79c1c77b9a2959032,2016-01-11 17:59:00,1,1,1,1,2,0.8112781244591328,4,0,46,1,6,547.5119155092592,25,9678,145.25935539146627,329
113,39b2b602f7bdada3a072ec1a9aeb1253621ee977,2016-01-13 04:50:54,1,1,1,1,1,0.0,2,2,934,1,5,123.8530324074074,29,316,55.64267108417434,8
